TRAIT	TODO	Date_last_edited	Primary(1),Secondary(2) Variable	GRS available? 	User checked trait	Comment	Definition explanation for manuscript	Type (Trait/Medicine/Operation/Family History)	Category	CompositeVariable	DESCRIPTION	Exclude_from_cases	Study_population	Exclude_from_controls	Include_definitions	ICD10	ICD9	OPCS4	OPCS3	READ2	READ2_drugs	CTV3	BNF	DMD	TS(Touchscreen)	f.20001(sr_cancer)	f.20002(sr_noncancer)	f.20003(sr_med)	f.20004(sr_oper)	Minimum_Episode_duration	include_secondary
Atopy		06-05-2021	1		MWY			Trait	immunological/systemic disorders		Hay fever, rhinitis, asthma or eczema 				Asth	J30(Vasomotor and allergic rhinitis),J31(Chronic rhinitis, nasopharyngitis and pharyngitis),L20(atopic dermatitis),L21(seborrhoeic dermatitis)	477(Allergic rhinitis), 691(atopic dermatits and related conditions)				x03am, x01Dp, c8	x03am, x01Dp, c8			6152=9[3761] (eczema/allergie), 22126[22146]=1		1387, 1452	1140926170,1141157422,1140883500,1140855556,1140855562,1140855568,1140855624,1140855642,1140855650,1140862612,1140862624,1140862628,1140862632,1140862638,1140862640,1140862650,1140862660,1140862694,1140862696,1140862706,1140862722,1140862726,1140862728,1140862732,1140862734,1140862738,1140862742,1140862756,1140862760,1140862764,1140862770,1140862772,1140862776,1140862792,1140862798,1140862804,1140862810,1140862830,1140862832,1140864750,1140864872,1140882018,1140909476,1140910370,1140921832,1140926782,1140926922,1140927702,1140928356,1141146428,1141151376,1141153080,1141157056,1141157060,1141157322,1141157324,1141162526,1141163840,1141171428,1141172924,1141172928,1141173186,1141173190,1141173416,1141176590,1141179830,1141179944,1141180662,1141181562,1141182528,1141184748,1141184752,1141185040,1141185076,1141185078,1141186226,1141186640,1141187230,1141189692,1141192718,1141192786,1141193888,1141194224,1141194228,1141194386,1141194948		0	1
AtopyRx		04-07-2017			MAS			Trait	immunological/systemic disorders		Hay fever, rhinitis, asthma or eczema (incl. medication)				Atopy, RxAtopy															0	1
Schz		04-07-2017	1					Trait	psychological/psychiatric problem		Schizophrenia					F20 (Schizophrenia)	295 (Schizophrenic psychoses)										1289 (schizophrenia)			0	1
Ccd		04-07-2017	1					Trait	gastrointestinal/abdominal		Coeliac Disease					K900 (Coeliac disease)	5790 (Coeliac disease)										1456 (malabsorption/coeliac disease)			0	1
Cd		04-07-2017	1					Trait	gastrointestinal/abdominal		Crohn's disease					K50(Crohn's disease)	555(regional enteritis)										1462 (crohns disease)			0	1
Gs		04-07-2017	1					Trait	gastrointestinal/abdominal		Gallstones/cholelithiasis					K80(Cholelithiasis)	574(Cholelithiasis), 5750(acute cholecystitis)	J18(Excision of gall bladder),J211(Open removal of calculus from gall bladder),J212(Drainage of gall bladder),J23(other open operations on gall bladder),J24(therapeutic percutaneous operations on gall bladder),									1162 (cholelithiasis/gall stones)		1528 (gallstones removed)	0	1
Ibd		04-07-2017	1					Trait	gastrointestinal/abdominal		Inflammatory bowel disease				Uc,Cd	K52(Other non-infective gastro-enteritis and colitis), K50(Crohn's disease), K51(Ulcerative colitis)	555(Regional enteritis), 556(Idiopathic proctocolitis), 558(Other noninfective gastroenteritis and colitis)										1461(inflammatory bowel disease)			0	1
IbdRx		04-07-2017			MAS			Trait	gastrointestinal/abdominal		Inflammatory bowel disease (incl. medication)				Ibd,RxAmS															0	1
Ibs		04-07-2017	1					Trait	gastrointestinal/abdominal		Irritable bowel syndrome					K58(Irritable bowel syndrome)	5641(Irritable colon)										1154(irritable bowel syndrome)			0	1
Uc		04-07-2017	1					Trait	gastrointestinal/abdominal		Ulcerative Colitis					K51(Ulcerative colitis)	5551(regional enteritis of large intestine), 556(idiopathic proctocolitis)										1463(ulcerative colitis)		1463(rectal or colon polypectomy)	0	1
UtFib		04-07-2017	1					Trait	gynaecology/breast		Uterine Fibroids					D25 (Leiomyoma of uterus)	218 (Uterine leiomyoma)	Q092(Open myomectomy)									1351 (uterine fibroids)		1509(myomectomy/fibroids removed)	0	1
Aneu		04-07-2017	1					Trait	cardiovascular disease		Aneurysm (any location)					I253(Aneurysm of heart),I254 (Coronary artery aneurysm),I281(Aneurysm of pulmonary artery),I67.1(Cerebral aneurysm, nonruptured), I71(Aortic aneurysm and dissection), I71(Other aneurysm), I790(Aneurysm in aorta of diseases classified elsewhere)	930(Aneurysm of aorta, specified as syphilitic),4141(Aneurysm of heart),4171(Aneurysm of pulmonary artery),4373(Cerebral aneurysm, nonruptured),441(Aortic aneurysm),442(Other aneurysm)	L18,L19,L254,L27,L28,L304,L33,L384,L424,L464,L49,L533,L56,L57,L623,L624,L705,K244(repair of left ventricular aneurysm),O01,O02,O03,O04									1425(cerebral aneurysm),1492(aortic aneurysm), 1591(aortic aneurysm rupture)		1103(leg artery aneurysm repair),1104(aortic aneurysm/repair or stent),1106(cerebral artery aneurysm surgery or clipping),1555(femoral/popliteal/iliac aneurysm repair)	0	1
Accidents		20-10-2020	1			MAS: T33 added in ICD10 + superficial injuries (910-919) in ICD9. Rephrase to fit coding19		Trait	trauma		Accidents: foreign bodies, burns and corrosions, poisoning, other and unspecified effects of external causes					T15, T16, T17, T18, T19,Block_T20-T25,Block_T26-T28,T29,T31, T32, T33,Block_T36-T50,Block_T51-T65,Block_T66-T78,V49(car occupant injured in other and unspecified transport accident), Z041,Z042,Z043,T72,T76,T77 	908, 909, Block_910-919,920, 921, 922, 923, 924, 925, 926, 927, 928, 929,Block_930-939,Block_940-949,Block_960-979,Block_980-989,Block_990-995,Block_996-999,V174										1407 (burns)			0	1
Fracture		04-07-2017	1		MAS			Trait 	trauma		Fracture 					S02 (fracture of skull and facial bones), S12 (fracture of neck), S22 (fracture of ribs, sternum and thoracic spine), S32 (fracture of lumbar spine and pelvis), S42 (fracture of shoulder and upper arm), S52 (fracture of forearm), S62 (fracture at wrist and hand level), S72 (fracture of femur), S82 (fracture of lower leg, including ankle), S92 (fracture of foot, except ankle), T02 (Fractures involving multiple body regions), T08 (Fracture of spine, level unspecified), T10 (fracture of upper limb), T12 (fracture of lower limb, level unspecified), T902(Sequelae of fracture of skull and facial bones),T91(sequelae of fracture of spine, thorax, pelvis),T921(seq of fracture of arm),T922(seq of fracture at wrist and hand level),T932(fracture of lower limb),Z094(follow up after fracture treatment),Z470(follow up involving removal of fracture plate),Z544(Convalescence following fracture treatment),M844(fatigue fracture of vertebra),M80(osteoporosis with pathological fracture), M840, M841, M842, M843, M844	800, 801, 802, 803, 804 (fracture of skull), 805, 806, 807, 808, 809 (fracture of neck and trunk), 810, 811, 812, 813, 814, 815, 816, 817, 818, 819 (fracture of upper limb), 820, 821, 822, 823, 824, 825, 826, 827, 828, 829 (fracture of lower limb), 7338, V540, V674	C082,C083,C085, O17,U502,V053,V054,V08,V09,V15,V44,V45,V46,W10,W11,W19,W20,W21,W22,W23,W24,W25,W26,W33, W651, W653, W654,W655,W661,W663,W664,W671,W673, W675,W677							2463=1, 6151≥1, 3005=1, 3082=1, 4093=1, 4096=1		1626,1627,1628,1629,1630,1631,1632,1633,1634,1635,1637,1638,1639,1640,1644,1645,1646,1647,1648,1649,1650,1651,1654,1652,1653,1655,1656		1439	0	1
Injury		06-05-2021	1		MWY	MAS: included all OPCS codes from accidents as well.Rephrase for coding19(ICD10) and coding87(ICD9)		Trait	trauma		Injury				Fracture	Block_S00-S09(injuries to the head),Block_S10-S19(injuries to the neck),Block_S20-S29(injuries to the thorax), Block_S30-S39(injuries to the abdomen, lower back, lumbar spine and pelvis),Block_S40-S49(injuries to the shoulder and upper arm), Block_S50-S59(injuries to the elbow and forearm), Block_S60-S69(injuries to the wrist and hand), Block_S70-S79(injuries to the hip and thigh), Block_S80-S89(injuries to the knee and lower leg), Block_S90-S99(injuries to the ankle and foot), Block_T00-T07(injuries involving multiple body regions),T08,T09,T10, T11, T12, T13, T14, T90, T91, T92, T93, T94, Z045	8001, 8003, 8011, 8031, 852, 853, 86, 87, 88, 89, 90, 91, 92, 95	K556, U512, C082,C083,C085, O17,U502,V053,V054,V08,V09,V15,V44,V45,V46,W10,W11,W19,W20,W21,W22,W23,W24,W25,W26,W33, W651, W653, W654,W655,W661,W663,W664,W671,W673, W675,W677							6145=1 (illness, injury, bereavement, stress in last 2 years), 5419≥1[5430] (which eyes affected by injury or trauma resulting in loss of vision)		1240,1545,1266,1267,1394, 1279			0	1
AlcLiv		04-07-2017	1					Trait	gastrointestinal/liver		Alcoholic Liver Disease					K70 (alcoholic liver disease) 	5711 (Acute alcoholic hepatitis), 5712 (alcoholic cirrhosis of liver), 5713 (alcohol liver damage, unspecified), 5710 (alcoholic fatty liver)										1604			0	1
LivD		20-10-2020	1			MAS: added viral hepatitis. rephrase code and O70-> 070		Trait	gastrointestinal/liver		Liver Disease				AlcLiv	K70, K71, K72, K73, K74, K75, K76, K77, B15, B16, B17, B18, B19	Block_570-579, 070	J01, J02, J03, J04, J05, J06, J07, X43									1136, 1155, 1158, 1604		1454	0	1
ProsHyp		04-07-2017	1			used https://www.england.nhs.uk/wp-content/uploads/2013/.../7sdm-map-icd10-codes.xls 		Trait	renal/urology		Prostaat hyperplasie					N40 (Hyperplasia of prostate)	600 (Hyperplasia of prostate)	M651, M652, M653, M654, M655									1516 (bph / benign prostatic hypertrophy), 1396 (enlarged prostate)			0	1
Ref		04-07-2017	1					Trait	gastrointestinal/abdominal		Gastric Reflux					K21(Gastro-oesophageal reflux disease)	53010(Oesophageal reflux without mention of oesophagitis), 53011(Oesophagitis with oesophageal reflux)	G24(antireflux operations), G25(revision of antireflux operations)									1138(gastro-oesophageal reflux gord gastric reflux)			0	1
RefRx		04-07-2017			MAS			Trait	gastrointestinal/abdominal		Gastric Reflux (incl. medication)				Ref,RxRef															0	1
PulO		04-07-2017			MAS			Trait	respiratory/ent		Pulmonary oedema 					J81(pulmonary oedema)	514(pulmonary congestion and hypostasis)										1076(heart failure/pulmonary oedema), 			0	1
RT		04-07-2017			T			Operation	cancer		Radiotherapy							X65 (Radiotherapy delivery)												0	1
GiB		04-07-2017			MAS			Trait	gastrointestinal		Gastrointestinal Bleeding					K922, K226, K250, K251, K252, K254, K255, K256, K260, K261, K262, K264, K265, K266, K270, K274, K275, K276, K280, K284, K285, K286, K290, K920, K921	5307, 5310, 5311, 5314, 5315, 5320, 5321, 5324, 5325, 5326, 5334, 5344, 578 	G351, G521, G532, G633, G784									1191 (gastrointestinal bleeding)			0	1
HtG		04-07-2017			MAS	MAS: ICD 9 codes  642.3/.4/.5 are missing.		Trait	gynaecology/breast		Gestational Hypertension					O13, O14, O15, O16											1073 (gestational hypertension/pre-eclampsia)			0	1
Uti		04-07-2017			MAS			Trait	renal/urology		Urinary tract infection					N390	5990										1196(Urinary tract infection)			0	1
A1at		06-05-2021	1		MWY	MAS: ICD 10 E8801 en ICD 9 2734 ontbreken in UK Bio	(Touchscreen n_22172_=1  Doctor diagnosed asthmamedication for A1Adef ) ,n_22132_ (toucschreen yes/no)=1,n_22152_>0 (age), (ICD9: 27761 Other deficiencies of circulating enzymes (alpha-1-antitrypsin hepatitis), 27762 Other alpha-1-antitrypsin deficiency), (ICD10: not specified in ukbiobank E88.01 )	Trait	respiratory/ent		Alpha-1 Antitrypsin Deficiency						27761,27762								22172=1,22132=1[22152]		1496			0	1
DmEye		06-05-2021	1		MWY	MWY:6148 is parent field		Trait	eye		Diabetes-related eye disease					H36.0(diabetic retinopahty), H280(diabetic cataract)	2504(diabetes with ophtalmic manifestations)								5890=1,5890 =2, 5890=3,6148=1[5901]		1276(diabetic eye disease)			0	1
Glc		04-07-2017			MAS			Trait	eye		Glaucoma					H40(Glaucoma), H42, Q15(congenital glaucoma)	365(Glaucoma)	C65(operations following glaucoma surgery)							6119=1,6119 =2, 6119=3,6148=2[4689]		1277(glaucoma)			0	1
Md		04-07-2017			MAS			Trait	eye		Macular degeneration						3625(Degeneration of macula and posterior pole)								5912=1,5912 =2, 5912=3,6148=5[5923]		1528(macular degeneration)			0	1
Aom		04-07-2017						Trait	gynaecology/breast		Age of Menarche														2714≥0					0	1
Mps		04-07-2017			MAS			Trait	gynaecology/breast		Menopause					N950,N951,N952,N958,N959	6271(postmenopauzal bleeding),6272(menopausal or female climacteric states),6273(postmenopausal atrophic vaginitis),6278								3581≥0 		1665(Menopause)			0	1
Hmy		20-10-2020			MAS	ICD10 code corrected.;MWY:while 2824 is age at hysterectomy it is asked based on 2 columns and hence not included in the bracket along 3591		Operation	gynaecology/breast		Hysterectomy					N993(prolapse of vaginal vault after hysterectomy)		Q07,Q08							3591=1, 2824≥0					0	1
Vte		10-05-2019			HEG;MAS	used https://bmjopen.bmj.com/content/suppl/2015/11/11/bmjopen-2015-008864.DC1/bmjopen-2015-008864supp_tables.pdf		Trait	cardiovascular disease		Venous thromboembolism				TbDvt,TbPe	I822,I823,I828,I829	4532,4538													0	1
RxOestr		04-07-2017				voor TOM		Medication			meds; Estrogen products 										x01M0	x01M0						1140884622			
RxProgOr		04-07-2017				voor TOM		Medication			meds; Progestagen products; oral 																				
RxComb		04-07-2017				voor TOM		Medication 			meds; Combination hormone therapy				RxCombV, RxCombT, RxCombO						x01MG, x002N	x01MG, x002N						1140883162,1140909938			
RxCombV		04-07-2017				voor TOM		Medication			meds; Combination hormone therapy; vaginal																				
RxCombT		04-07-2017				voor TOM		Medication			meds; Combination hormone therapy; transdermal																				
RxProgV		04-07-2017				voor TOM		Medication			meds; Progestagen products; vaginal																				
RxProg		04-07-2017				voor TOM		Medication			meds; Progestagen products				RxProgOr, RxProgV						fg...	fg...						1140857620,1140857628,1140864232,1140868488,1140868490,1140868494,1140868496,1140868554,1140868584,1140868586,1140868588,1140868590,1140910638,1140910640,1141152198,1141152356,1141172714,1141177150			
RxAntiCon		04-07-2017				voor TOM		Medication			meds; Anticonception				RxProg, RxComb, RxOestr						x01M0, x01MG, x002N, fg...	x01M0, x01MG, x002N, fg...			6153=5			1140884622,1140883162,1140909938,1140857620,1140857628,1140864232,1140868488,1140868490,1140868494,1140868496,1140868554,1140868584,1140868586,1140868588,1140868590,1140910638,1140910640,1141152198,1141152356,1141172714,1141177150			
RxCombO		04-07-2017				voor TOM		Medication			meds; Combination hormone therapy; oral										g8	g8			6153=5 (oral contraceptive pill or minipill)			1140857912,1140857918,1140857920,1140857986,1140857988,1140857990,1140869162,1140869164,1140869166,1140869170,1140869172,1140869174,1140869176,1140869180,1140869184,1140869186,1140869188,1140869190,1140869248,1140869254,1140869256,1140869258,1140869260,1140869262,1140869264,1140869266,1140869324,1140869328,1140869332,1140869334,1140869338,1140869340,1140869346,1140869348,1141166366,1141166368,1141179820,1141179822,1141179824,1141181204,1141181240,1141181286,1141181298,1141181306			
